mate_code,mate_name,shopNumber,baemin_name,status
1058283,육식사관학교 아산배방점,14867206,육식사관학교 아산배방점,matched
1058554,육식사관학교동탄역점,14899600,육식사관학교 동탄역점,matched
1058840,육식사관학교대구율하혁신점,14901534,육식사관학교 대구율하혁신점,matched
1058941,육식사관학교 인천석남점,14774575,육식사관학교 인천석남점,matched
1059600,육식사관학교도봉점,14903934,육식사관학교 도봉점,matched
1059603,육식사관학교 안성점,14905207,육식사관학교 안성점,matched
1059605,육식사관학교 조치원오송점,14899576,육식사관학교 조치원오송점,matched
1059746,육식사관학교수원정자점,14704202,육식사관학교 수원정자점,matched
1059757,육식사관학교 양산석산점,14781170,육식사관학교 양산석산점,matched
1060102,육식사관학교이천점,14906233,육식사관학교 이천점,matched
1060118,육식사관학교진주신안점,14912928,육식사관학교 진주신안점,matched
1060122,육식사관학교독산점,14590778,육식사관학교 독산점,matched
1060173,육식사관학교원주우산점,14913322,육식사관학교 원주우산점,matched
1060222,육식사관학교시흥시화점,14913342,육식사관학교 시흥시화점,matched
1060225,육식사관학교부산용호점,14912933,육식사관학교 부산용호점,matched
1060540,육식사관학교세종보람점,14913558,육식사관학교 세종보람점,matched
1060574,육식사관학교평택고덕점,14917841,육식사관학교 평택고덕점,matched
1060596,육식사관학교대전동구점,14917801,육식사관학교 대전동구점,matched
1060788,육식사관학교 별내갈매점,14919975,육식사관학교 별내갈매점,matched
1060790,육식사관학교울산중구점,14920964,육식사관학교 울산중구점,matched
1061237,육식사관학교인천인하대점,14926668,육식사관학교 인천인하대점,matched
1023466,육식사관학교 관악점,,,mate_only
1024878,육식사관학교본점,,14448927:육식사관학교 관악본점 / 14638345:갈비집 강서본점,mate_only
1030208,육식사관학교남구점,14610730,육식사관학교 광주남구점,matched_fuzzy
1031692,육식사관학교 강서점,,,mate_only
1032556,육식사관학교 대전둔산점,,,mate_only
1035870,육식사관학교 수원율전점,,,mate_only
1036031,육식사관학교인후점,14703182,육식사관학교 전주인후점,matched_fuzzy
1036279,육식사관학교 수영점,14720458,갈비랑찌개랑 부산수영점,matched_fuzzy
1038091,육식사관학교 천안두정점,,,mate_only
1038973,육식사관학교 인천용현점,,,mate_only
1042268,육식사관학교사하점,14756735,육식사관학교 부산사하점,matched_fuzzy
1043736,육식사관학교마산문화점,,,mate_only
1043989,찌개랑갈비랑상암점 육식사관학교상암점,14762509,육식사관학교 상암점,matched_fuzzy
1044468,육식사관학교신갈점,14762139,육식사관학교 용인신갈점,matched_fuzzy
1044861,육식사관학교평내점,14770480,육식사관학교 남양주평내점,matched_fuzzy
1045247,육식사관학교온천점,14773053,육식사관학교 부산온천점,matched_fuzzy
1045576,육식사관학교마전점,14775366,육식사관학교 인천마전점,matched_fuzzy
1045778,육식사관학교소사점,14776170,육식사관학교 부천소사점,matched_fuzzy
1047074,육식사관학교일산점,14789178,육식사관학교 울산일산점,matched_fuzzy
1048401,육식사관학교금정점,14799365,육식사관학교 부산금정점,matched_fuzzy
1049080,육식사관학교 방배,14803830,육식사관학교 방배점,matched_fuzzy
1049520,육식사관학교김해율하점,,,mate_only
1050029,육식사관학교 신기점,14649539,육식사관학교 여수신기점,matched_fuzzy
1055970,라온,,,mate_only
1055983,JC푸드,,,mate_only
1056293,육식사관학교서창점,14849556,육식사관학교 인천서창점,matched_fuzzy
1057165,육식사관학교의창구점,,,mate_only
1059558,육식사관학교연천점,,,mate_only
1060193,육식사관학교 본점,,14448927:육식사관학교 관악본점 / 14638345:갈비집 강서본점,mate_only
1060467,육식사관학교 본점,,14448927:육식사관학교 관악본점 / 14638345:갈비집 강서본점,mate_only
1061198,육식사관학교광주신현점,,,mate_only
,,14448927,육식사관학교 관악본점,baemin_only
,,14638345,갈비집 강서본점,baemin_only
,,14761301,육식사관학교 마산경남대점,baemin_only
,,14850399,육식사관학교 나주혁신점,baemin_only
,,14860041,육식사관학교 창원의창점,baemin_only
,,14907007,끝집,baemin_only
